cell_id,phi_degrees,psi_degrees,spatial_partition,stage_a_cell
PHI+165_PSI-060,165,-60,VALIDATION,False
PHI+165_PSI-045,165,-45,VALIDATION,False
PHI+165_PSI-030,165,-30,VALIDATION,False
PHI+165_PSI-015,165,-15,VALIDATION,False
PHI+165_PSI+000,165,0,TRAIN,False
PHI+165_PSI+015,165,15,TRAIN,False
PHI+165_PSI+030,165,30,TRAIN,False
PHI+165_PSI+045,165,45,TRAIN,False
PHI+165_PSI+060,165,60,TRAIN,False
PHI+165_PSI+075,165,75,TRAIN,False
PHI+165_PSI+090,165,90,TRAIN,False
PHI+165_PSI+105,165,105,TRAIN,False
PHI+165_PSI+120,165,120,VALIDATION,False
PHI+165_PSI+135,165,135,VALIDATION,False
PHI+165_PSI+150,165,150,VALIDATION,False
PHI+165_PSI+165,165,165,VALIDATION,False
