PARAMETER_ID,VALUE,UNIT,SOURCE,PROVENANCE,FROZEN_OR_FITTABLE
ATOM_40_CHARGE,0.02253600001097556,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_40_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_40_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_41_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_41_CHARGE,0.02098799997804887,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_41_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_41_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_42_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_42_CHARGE,0.000166,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_42_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_42_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_43_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_43_CHARGE,0.04067300000548778,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_43_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_43_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_44_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_44_CHARGE,-0.02441500002743891,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_44_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_44_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_45_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_45_CHARGE,0.04576399998902444,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_45_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_45_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_46_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_46_CHARGE,0.04557799997804887,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_46_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_46_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_47_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_47_CHARGE,0.04229799997804887,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_47_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_47_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_48_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_48_CHARGE,0.0571370002689013,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_48_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_48_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_49_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_49_CHARGE,0.0290150000274389,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_49_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_49_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_50_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_50_CHARGE,0.02737099998353665,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_50_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_50_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_51_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_51_CHARGE,0.1171980002524379,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_51_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_51_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_52_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_52_CHARGE,0.1098879998682932,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_52_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_52_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_53_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_53_CHARGE,0.1049269998847566,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_53_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_53_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_54_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_54_CHARGE,0.1049269998847566,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_54_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_54_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_55_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_55_CHARGE,0.1049269998847566,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_55_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_55_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_56_TYPE,hs,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_56_CHARGE,0.1722720002414624,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_56_LJ_RMIN,0.6111999997317322,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_56_LJ_EPSILON,0.01240000002728965,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
BOND_1_2_K,223.8,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_1_2_REQ,1.5428,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_2_3_K,226.81,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_2_3_REQ,1.5384,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_2_8_K,244.96,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_2_8_REQ,1.5133,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_2_12_K,226.81,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_2_12_REQ,1.5384,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_3_4_K,226.81,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_3_4_REQ,1.5384,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_4_5_K,233.63,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_4_5_REQ,1.5287,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_5_6_K,590.6,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_5_6_REQ,1.219,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_5_7_K,267.76,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_5_7_REQ,1.4848,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_7_8_K,424.3,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_7_8_REQ,1.3457,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_8_9_K,244.96,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_8_9_REQ,1.5133,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_9_10_K,226.81,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_9_10_REQ,1.5384,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_10_11_K,226.81,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_10_11_REQ,1.5384,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_10_26_K,174.66,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_10_26_REQ,1.8629,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_11_12_K,226.81,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_11_12_REQ,1.5384,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_11_16_K,226.47,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_11_16_REQ,1.5389,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_12_13_K,226.81,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_12_13_REQ,1.5384,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_13_14_K,226.81,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_13_14_REQ,1.5384,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_14_15_K,226.47,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_14_15_REQ,1.5389,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_15_16_K,220.1,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_15_16_REQ,1.5483,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_15_25_K,227.64,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_15_25_REQ,1.5372,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_15_19_K,220.1,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_15_19_REQ,1.5483,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_16_17_K,220.1,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_16_17_REQ,1.5483,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_17_18_K,220.1,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_17_18_REQ,1.5483,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_18_19_K,220.1,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_18_19_REQ,1.5483,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_19_20_K,220.1,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_19_20_REQ,1.5483,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_19_24_K,275.61,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_19_24_REQ,1.4346,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_20_21_K,220.1,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_20_21_REQ,1.5483,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_21_22_K,229.45,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_21_22_REQ,1.5346,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_22_23_K,590.6,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_22_23_REQ,1.219,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_22_24_K,351.31,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_22_24_REQ,1.3621,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_1_27_K,345.25,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_1_27_REQ,1.0962,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_1_28_K,345.25,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_1_28_REQ,1.0962,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_1_29_K,345.25,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_1_29_REQ,1.0962,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_3_30_K,342.75,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_3_30_REQ,1.0979,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_3_31_K,342.75,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_3_31_REQ,1.0979,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_4_32_K,342.75,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_4_32_REQ,1.0979,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_4_33_K,342.75,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_4_33_REQ,1.0979,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_7_34_K,357.59,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_7_34_REQ,1.088,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_9_35_K,342.75,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_9_35_REQ,1.0979,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_9_36_K,342.75,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_9_36_REQ,1.0979,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_10_37_K,342.02,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_10_37_REQ,1.0984,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_11_38_K,342.75,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_11_38_REQ,1.0979,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
BOND_12_39_K,342.75,kcal/mol/angstrom^2,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2/parmchk2 topology,FROZEN_BASELINE
