alternative_rank,immutable_ligand_identity_sha256,historical_database_compound_id_provenance_only,external_id,name,smiles,inchi_key,historical_engine_output_7b,historical_engine_output_7a,historical_delta_7a_minus_7b,historical_216_member
69,23bdd95a830c28be871f6083b4ef3db4be58a4e19c2115931319144f454819ae,0f89818f-1b93-4949-8def-768a34a5ef9b,MCULE-8950822836,MCULE-8950822836,C[C@@]1(O)CCN(S(C)(=O)=O)[C@@H](c2ccccc2)[C@@H]1NC(=O)c1ccc(F)cc1,WYSVYAQBKUUBGY-CMKODMSKSA-N,-8.33,-6.491,1.8390000000000004,t
70,47f8e38b32ca66874ccb57dfc342116739a0cc365c847e6fc083182829a38d4f,71cef895-e9e5-4155-8fec-296b33f648d2,MCULE-2420078993,MCULE-2420078993,Cc1ccccc1C1c2ccsc2CCN1CC(=O)N1CCCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1,AZLYJDYZRYKWNF-UHFFFAOYSA-N,-8.918,-7.079,1.8389999999999995,t
71,1821593625befbc720bcda8d99457c3b850d5e0d8f2ece976b0377c512f9a6d5,aff3c1a1-8c21-47a2-8c23-3ac469036a79,WH-0099,WH-0099,C=C(C#N)C(=O)NCCCc1cc(OC)c(OC)c(OC)c1-c1nnc2n1[C@@H](CC(C)C)C(=O)N(CC)C2,YIXXQYMKVHCXME-IBGZPJMESA-N,-8.223,-6.394,1.8290000000000006,t
72,3b06b774a908ca3cde2db166b5d13ca4c13683bb4f994caf9c431f450bc47dfe,fc0caaaf-8766-4a14-9308-048e34841204,MCULE-3188917096,MCULE-3188917096,CC(C)(N)c1cc(C(=O)NC2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,GXEGTVQATHKFDH-UHFFFAOYSA-N,-11.542,-9.721,1.8209999999999997,t
73,34c8607f2160ba145754544b391b02dda09d39275ca1824928e4803fc5f01f12,bc7adef8-5e08-4d64-b8fd-8e03b3d705f9,CHEMBL5743786,CHEMBL5743786,Cc1n[nH]c2c1C(c1cc(C#CCCCO)cc(CO)c1)(C(C)C)C(C#N)=C(N)O2,IWUCUJZMKDHLOF-UHFFFAOYSA-N,-7.096,-5.283,1.8129999999999997,f
74,b60e4d88bd4fdf6ca331cf52357fd42ddb4e0bc2cf3ed6f93303cb597cd62276,5963253f-5d98-44a4-9979-d11350b169b3,MCULE-5545626239,MCULE-5545626239,COc1ccccc1N(CC(O)CN1CCN(C2CCS(=O)(=O)C2)CC1)S(=O)(=O)c1ccccc1,IMZIMBDEFBHUCM-UHFFFAOYSA-N,-9.261,-7.454,1.8069999999999995,t
75,56e32f268d9f68a1ec5e57dbefe1a70186468a3e748a3eea4aef3e617c28c399,4dc8ed07-20fe-4a08-8cb6-406b6f0021aa,WH-0065,WH-0065,O=C(CCl)NCCc1ccc(N2C(=O)CSC23C(=O)Nc2ccccc23)cc1,TUCRJAMRIPUOBQ-UHFFFAOYSA-N,-8.941,-7.138,1.8030000000000008,t
76,7f68582b4c25d2211723b96a65ecdd68cd59273bfee6e20797369de3c4bbf420,89618413-7a14-4623-8337-13c82e292684,MCULE-7154297007,MCULE-7154297007,Cc1ncc(-c2ccc3c(c2)N(c2cncc(N4CCOCC4)n2)C(=O)C3(C)C)cn1,MZSNRLOWZYPXOG-UHFFFAOYSA-N,-10.541,-8.743,1.798,t
77,3d9e801436d47b77607915f869d490b282a3b701902eacc73d4238095bac87cb,9643174a-bcaa-49c2-a102-bfcc0aeb044f,MCULE-2135392775,MCULE-2135392775,Cc1ccc(C2Oc3ccccc3-n3c(-c4ccc(F)cc4)c4c(=O)n(C)c(=O)n(C)c4c32)c(O)c1,NJNCCAQBETXOHH-UHFFFAOYSA-N,-8.109,-6.318,1.7910000000000004,t
78,6dcee5d7962eeaee4d7a55f1df15adf4aa8f089fe375ebd40f74d58171b24e05,5c3da3a5-2b4d-4d24-9e4d-2afdd8667cc6,WH-0295,WH-0295,O=C(CCl)NCCc1cc(F)ccc1-c1nn2c(N3CCOCC3)nccc2c1-c1ccc2c(c1)CC(=O)N2,MKOWJQOKARYJLT-UHFFFAOYSA-N,-10.794,-9.015,1.779,t
79,b4556ff1d79fb8d8a16a60e0435cf33b8aa58e3ed07f4f0c445c56de92191697,dfe6c6d9-a7b1-402b-a860-f40109cb3d8c,WH-0372,WH-0372,C=CC(=O)NCCCc1cnc(N2CCC(O)CC2)n2nc(-c3ccc(OC)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,HYJRHTJTEAMSIK-UHFFFAOYSA-N,-8.894,-7.121,1.7729999999999997,t
80,665b106e759006098219e3d0922e1e23cbc9c4d46e18ddb6bdab56860ae090f8,18571621-16b9-47c8-84ff-c088dac9ee0c,WH-0027,WH-0027,C=CC(=O)NCCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCC(O)CC2)n1,ZDXIGWWYVXADSX-UHFFFAOYSA-N,-8.884,-7.119,1.7650000000000006,t
81,4e913080868eafdf674230048bc67640a7f868f1ecb36f11d9f4a24b01d6558a,b74d1303-bc70-4871-91e3-777377de385d,WH-0422,WH-0422,C=CC(=O)NCCCc1cc(-c2nn3c(N4CCC(N)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1F,PFMZHNJEWVSPTQ-UHFFFAOYSA-N,-11.131,-9.367,1.7639999999999993,t
82,ab87cd75f46ed6ea88d73c68633f0a7e5270680bf5276e19d8282d5c681810cf,47a73aa3-bc3b-400f-bf1c-a6078208aa06,MCULE-9303805113,MCULE-9303805113,CC(=O)N1CC(=O)N(c2ccccc2)CC12CCN(C(=O)c1ccoc1C)C2,NJOMVKUKFSLLTN-UHFFFAOYSA-N,-8.941,-7.179,1.7620000000000005,t
83,10b2095e06c682a54f5442692b5786e990d359043f4d3dd8a7bf3e56cb4ba9fe,708f73bb-de57-4aeb-9ed1-5dd1b411fe5f,CHEMBL6041327,CHEMBL6041327,Cc1n[nH]c2c1C(c1cc(C#N)cc(C#CCCC(=O)O)c1)(C(C)C)C(C#N)=C(N)O2,STIXDXOWMOSMLS-UHFFFAOYSA-N,-7.287,-5.543,1.7439999999999998,f
84,370195896c317d5070164d7891dfc98ca973f3a81a85f1f952ce8891c3808c96,69d5a903-77f4-40ef-8615-f1827ddc2a34,WH-0136,WH-0136,C=CC(=O)NCCc1cccc([C@H]2[C@H](NC(=O)c3ccc(F)cc3)[C@](C)(O)CCN2S(C)(=O)=O)c1,BUKGDBLLBUTOFT-SONWIMMPSA-N,-9.236,-7.508,1.7280000000000006,t
85,3240a57f99d3c0707e41b2de72941d82c92b7fb2440fe5afbfdb2174be7bab31,478bd2ce-4fdb-402b-a46d-fb9d090d61bb,MCULE-7080563723,MCULE-7080563723,Cc1ccc2cc(C(c3nnnn3C3CCCC3)N3CCCC4(CCCCC4)C3)c(=O)[nH]c2c1,CDLKXXULDMVCFV-UHFFFAOYSA-N,-10.802,-9.082,1.7199999999999989,t
86,f31c4108a1b04adbc834692fe4bb69f578475532fb1851bc17356bb24cc98121,c05366cb-0c0f-4abd-a528-fc690304d144,WH-0313,WH-0313,C=C(C#N)C(=O)NCCc1cnc(N2CCOCC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,HKWOLUZTAXNIRH-UHFFFAOYSA-N,-9.335,-7.621,1.7140000000000004,t
87,bba683e2e97fc3621aba1c7ec77b232e7c7ab9de25b0ad7e02f3c1a4eb01ed8a,a75e068f-7de2-4675-be31-afe946f0c4e8,WH-0144,WH-0144,C=C(C#N)C(=O)NCCCc1ccc([C@H]2[C@H](NC(=O)c3ccc(F)cc3)[C@](C)(O)CCN2S(C)(=O)=O)cc1,ACFKXRXAJCTNBI-NLJOTIRTSA-N,-9.345,-7.637,1.708000000000001,t
88,eb3c54ee1c8ca09246ccadb21cd6898e20ffc90bbfe91f34a6704ac92dcda360,dee1a2c2-e178-4783-8175-4c2921d2a25b,MCULE-8355279029,MCULE-8355279029,CN(C)c1ncc2c(n1)C1(CCN(c3nc4c(cc3C#N)CCCC4)CC1)OCC2,AMFJMJFVXQCWSX-UHFFFAOYSA-N,-9.376,-7.676,1.6999999999999993,t
89,78b2ba5f58d599993d3aebe13ee088c79111c4043b6a3dfc41da80d75ea2ae65,2609d838-97cf-457a-9ed7-5db11d82125f,WH-0424,WH-0424,C=C(C#N)C(=O)NCCCc1cc(-c2nn3c(N4CCC(N)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1F,SOXUECXZZOULNH-UHFFFAOYSA-N,-12.398,-10.703,1.6950000000000003,t
90,4a7881bdcb3fa2f7bd47c123a2665ecd63752d292d472466c8bd2822d3bd6003,fce54d9b-8748-4d02-9909-0c7d84038371,MCULE-4515095248,MCULE-4515095248,Cc1cnc(CN2CC3(CCCN(C(=O)c4cc(C)no4)C3)CCC2=O)cn1,NBXWLHSDWWXHPN-UHFFFAOYSA-N,-10.239,-8.553,1.686,t
91,cddeecb6e49810335217c47771fad1ec111d5efe7c68a6ab7baf50735ab089b1,6e7025cb-979b-45de-bab3-4fd2d2983a90,CHEMBL5646588,CHEMBL5646588,C=CC(=O)Nc1cc(F)ccc1-c1cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c(C)c(N(CC)C(=O)C2CC2)c1,YNOVINNHEMOALH-UHFFFAOYSA-N,-9.365,-7.693,1.6720000000000006,t
92,d49d052480560bfa219719821f05524b06d32d3be7fbfe2e76efb7acc85df784,399b326e-f861-4ddf-8ba8-0ae61082e3ba,MCULE-9365544165,MCULE-9365544165,CC1(C(=O)N2C[C@@H](c3ccc(F)cc3)[C@@]3(CCCC(=O)N3)C2)CCN(c2ncccn2)CC1,XEMBILPPCTWZBN-NBGIEHNGSA-N,-10.909,-9.238,1.6710000000000012,t
93,60956a8f1980943dd53bcdf50c7f41e4036dacff95d1f0f2ba2cce245027f2f3,6a210e07-bcfa-43f4-8890-a7c09541b2e6,WH-0367,WH-0367,C=CC(=O)NCCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(OC)cc3)nn2c(N2CCC(O)CC2)n1,QNMXWYGYKQFKFA-UHFFFAOYSA-N,-8.712,-7.052,1.6600000000000001,t
94,55baa8fc651352ece71b24962d7c1a6fe2cbf696b5dfeb16c75182688d42937e,c77e9da7-be61-43ed-8c4c-828ddee6f0bf,WH-0121,WH-0121,C=CC(=O)NCCO[C@]1(C)CCN(S(C)(=O)=O)[C@@H](c2ccccc2)[C@@H]1NC(=O)c1ccc(F)cc1,UXUOZPPHFKAGHL-SONWIMMPSA-N,-7.927,-6.272,1.6549999999999994,t
95,73482b9fb0781ed6cd42437901b2bb711acfd59ce5d5d36d0356634a83ed46fc,d09ba7ff-c7d5-41c5-9ffe-a8af8f4c03d6,WH-0425,WH-0425,NC1CCN(c2nccc3c(-c4ccc5c(c4)CC(=O)N5)c(-c4ccc(F)c(CCNC(=O)CCl)c4)nn23)CC1,PFVPPSPKGVLCSP-UHFFFAOYSA-N,-11.15,-9.496,1.654,t
96,1a997b5827282bb4f6669653cfdf1eb08901caab8c6e0e62864917b0a878ba65,08eb176d-f152-4e5a-a681-f3fa283f176e,MCULE-3281519817,MCULE-3281519817,Nc1cc(N2C[C@H]3C[C@@H](C2)[C@H](C(=O)N2CCC(F)(F)C2)n2c3cccc2=O)ncn1,MBZYNMHNACCDJA-FHSNZYRGSA-N,-9.64,-7.988,1.6520000000000001,t
97,b5024ac5bcd0c9b71d49f79a5f3939ed4ecf2370925a355fe01613d8fb60d6c1,12c89653-4287-41d2-818e-6e09551621ff,WH-0105,WH-0105,CCN1Cc2nnc(-c3cc(CCNC(=O)CCl)c(OC)c(OC)c3OC)n2[C@@H](CC(C)C)C1=O,KIXNVJMLBMTBTF-KRWDZBQOSA-N,-7.527,-5.876,1.6509999999999998,t
98,e12d67d581bec5c5fe8059d1c2b8fa70feb1430b4aedafdd3594685f460d4d1e,08d7e1b7-02c6-4ce0-923d-68c4e1fa71a0,WH-0407,WH-0407,C=CC(=O)NCCCc1cc(-c2c(-c3ccc(F)cc3)nn3c(N4CCC(N)CC4)nccc23)cc2c1NC(=O)C2,DPJVAVJUYJRTFG-UHFFFAOYSA-N,-9.659,-8.014,1.6450000000000014,t
99,91dc6e2e70e97f4d21703111608886c2017e25e525e525ccc84788da36ec4bec,0ba8f89a-3172-4703-bfc3-81ada5986f37,WH-0166,WH-0166,C=CC(=O)NCCN1c2ccn3ncc(c3n2)C(=O)NC[C@H](C)Oc2ccc(F)cc2[C@H]1C,RDBPELQDHVNHSJ-LSDHHAIUSA-N,-7.654,-6.014,1.6399999999999997,t
100,1d58a453ec9b8e0bb2fac28272d9f210190069c1fd56e2e3745233ded3737e3d,a0e3b6a6-9818-49c2-8981-d0d52e8c13a0,MCULE-8482633504,MCULE-8482633504,COCCNC(=O)C(c1ccccc1F)N(C(=O)C(=O)NC1CCCC1)c1ccc2c(c1)OCCO2,IOVMLXIGSCGQEE-UHFFFAOYSA-N,-9.118,-7.48,1.638,t
101,69b1cc9052aa5ad2b61b68ee9b69bbec265a9148b40ef3af9e583de262f00afe,2aad3453-2ca3-4265-97c5-e389097bffbc,WH-0302,WH-0302,C=CC(=O)NCCCc1ccc(-c2nn3c(N4CCOCC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)cc1,DDLAVZTYFHSQJV-UHFFFAOYSA-N,-10.528,-8.895,1.633000000000001,t
102,05a6bbf066608b0e3aa28a96320ef7e1817335b6bd73d492063556f81e219e37,ecae9138-4692-4095-b323-888bc9bbbc09,WH-0013,WH-0013,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1F,NQMMCROUYUDKTP-UHFFFAOYSA-N,-10.919,-9.29,1.6290000000000013,t
103,1b53b6869b089401c4bb3cb6daa6e955aca48a69ea18b53252b0ad136ac86cc3,a0f5afac-ef5a-4fd0-9148-5c4b9dab029a,MCULE-9573199704,MCULE-9573199704,Cc1c(N2CC(NC(C)C)C2)c(F)cc2c(=O)c(C(=O)O)cn(-c3nc(N)c(F)cc3F)c12,MJMVUQNNSOBCGF-UHFFFAOYSA-N,-9.785,-8.161,1.6240000000000006,t
104,d5e540681f2da3461630d33a1867ad914d8038f4856b5da6c32ac9cc4c1f6ab5,5c15bbc4-307a-46b2-bbc7-86a5d9338245,WH-0350,WH-0350,O=C(CCl)NCCCOc1ccc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)cc1,ANERTXUTXWILRR-UHFFFAOYSA-N,-10.473,-8.851,1.6219999999999999,t
105,e88265f23a234c8d5d71767761d12dfe980198c97427310547e65d2e0ea3eded,0832ad67-0857-49f0-8e7d-18f9569982cc,WH-0399,WH-0399,C=C(C#N)C(=O)NCCCc1cnc(N2CCC(N)CC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,NVIWFGFJSXVFFA-UHFFFAOYSA-N,-9.742,-8.134,1.6080000000000005,t
106,215808ff942e0a4a36f35e6c83594c61e7341da8fa880257b5c18c4009cb74a9,5ee68f95-3dda-4fe2-83b6-b9a3cc217d25,MCULE-1618694211,MCULE-1618694211,O=C(c1ccc(N2CCOCC2)nc1)N1CCC2(CC1)OCCc1c2[nH]c2ccccc12,CDFJERWPOSJIRM-UHFFFAOYSA-N,-10.421,-8.814,1.6069999999999993,t
107,f660dfa99b4065c3a280e881eaa2ad8c0012e7853257e756db8163ec9fe15277,f2ccdaf6-2679-4996-86b5-0264b07db82c,MCULE-2720505036,MCULE-2720505036,Cc1ccc(C(=O)N2CCC3(CCCCOC[C@H](C)NC(=O)[C@H](C)NC3=O)CC2)cc1N1CCCCC1,YPGHXOJXHBFVOP-GOTSBHOMSA-N,-8.712,-7.113,1.5989999999999993,t
108,05c4c7b6c38613cada4074171ef035fd711652b9b772c560b0a35e612d288335,55d56450-d4c2-4405-8b13-8ce493b9839e,MCULE-2590224383,MCULE-2590224383,Cc1c(CC(=O)N2CCN(C(=O)C3COc4ccccc4O3)CC2)c(=O)oc2cc(O)c(Cl)cc12,YCOAROPTJJWRMT-UHFFFAOYSA-N,-11.538,-9.942,1.596,t
109,f5ab10e4f4d753af237a26520f2f0bbd47011f0c28628e97867b11bea3c5fcec,b053d2b9-7c79-40ff-973b-fbfefe0b27a9,WH-0352,WH-0352,C=CC(=O)NCCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1OC,PHZGBTNVDLPLSR-UHFFFAOYSA-N,-10.769,-9.185,1.5839999999999996,t
110,5113c68f9d96d9b3694dae06b1d777e23009a666dd5baac56600983f31cb2d35,98c5470c-cfa7-423d-8a52-b2dda5925210,WH-0419,WH-0419,C=C(C#N)C(=O)NCCCc1cc(F)ccc1-c1nn2c(N3CCC(N)CC3)nccc2c1-c1ccc2c(c1)CC(=O)N2,DBCHNBLXNQGSFE-UHFFFAOYSA-N,-11.174,-9.597,1.577,t
111,4b5f7283725451de7bfd2a35ab4f5445ce8ca0dbcf28d47b2bc02601a157aa6e,4f07eec8-9d9d-4e9e-a79c-f254384c4c94,MCULE-1460886842,MCULE-1460886842,Cn1nc(C(=O)NCC2CC2)c2c1CC1(CCN(C(=O)CC3CC3)CC1)OC2,ARSPWGNHSHDRNP-UHFFFAOYSA-N,-9.156,-7.601,1.5550000000000006,t
112,b5b09897f651df606b56a04bf48317b9a09fda317c13f0671072b51426adccec,0fc0606a-2342-46d5-b55f-4cada4ff752e,WH-0101,WH-0101,C=CC(=O)NCCc1cc(-c2nnc3n2[C@@H](CC(C)C)C(=O)N(CC)C3)c(OC)c(OC)c1OC,DFNQMTIUXQDMOC-SFHVURJKSA-N,-8.178,-6.632,1.5460000000000012,t
113,506672860ccb6c97901624aa814641dde9b04408aa5f24feb04ae0150a37d6a6,493dfcaa-8d48-4ba0-90b5-2a3971ffee2a,WH-0298,WH-0298,C=C(C#N)C(=O)NCCc1cc(-c2nn3c(N4CCOCC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1F,IIBGNOCSYKDQOT-UHFFFAOYSA-N,-11.413,-9.873,1.540000000000001,t
114,e72a7470fbd1ef168e51b5d3d8d848b754fbd5f813707e3216b70363e3c08d42,d26fd786-4dba-484b-b005-f52cdf18901e,WH-0348,WH-0348,C=C(C#N)C(=O)NCCCOc1ccc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)cc1,HKYFLJJPGRTWLX-UHFFFAOYSA-N,-11.154,-9.614,1.5399999999999991,t
115,46e24e444f95d4c4fa79ec408ff4f60a22f9196c582ffc838c7ef9288c03ad16,74f85806-7bef-4ff3-a246-e66bb8efbbef,MCULE-3376507704,MCULE-3376507704,Cc1cnc(CN2CC3(CCCN(C(=O)c4ccccn4)C3)CCC2=O)cn1,ICFMHGAJWLXPIK-UHFFFAOYSA-N,-10.121,-8.614,1.5069999999999997,t
116,bab0fa06c66bede2d9fe06bb48671188c72dee6cd3027e918d69d13e42621681,1f119642-a241-4e50-8fb6-201bfb91acb6,MCULE-6642007074,MCULE-6642007074,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=S)NC(=O)c4ccc(OC)cc4)CC3)cc21,TVFWQQFKFQPBNK-UHFFFAOYSA-N,-10.769,-9.264,1.5050000000000008,t
